claim_id,claim_date,vehicle_vin,model_year,make,model,mileage_at_claim,part_number,part_description,failure_symptom,failure_code,repair_cost,labor_hours,dealer_code,supplier_id,manufacture_date,warranty_type
CLM-2024-001001,2024-03-10,1FTFW1EG5NFA12345,2022,Ford,F-150,34250,ENG-0421-A,Engine oil pump assembly,Low oil pressure warning at idle - engine knock,P0520,1240.00,4.5,DLR-TX-0042,SUP-ACME-003,2021-09-14,powertrain
CLM-2024-001002,2024-03-11,1FTFW1EG5NFA23456,2022,Ford,F-150,28900,ENG-0421-A,Engine oil pump assembly,Oil pressure light on - verified low pressure at idle,P0520,1180.00,4.0,DLR-TX-0091,SUP-ACME-003,2021-09-22,powertrain
CLM-2024-001003,2024-03-12,2T1BURHE0JC567890,2022,Toyota,Camry,41300,TRANS-0811-B,Automatic transmission solenoid pack,Harsh shifting between 2nd and 3rd gear - occasional slip,P0752,890.00,3.0,DLR-CA-0017,SUP-DENSO-001,2021-11-05,powertrain
CLM-2024-001004,2024-03-13,1FTFW1EG5NFA34567,2022,Ford,F-150,31100,ENG-0421-A,Engine oil pump assembly,Check engine + low oil pressure - knocking at cold start,P0520,1350.00,5.0,DLR-TX-0042,SUP-ACME-003,2021-09-18,powertrain
CLM-2024-001005,2024-03-14,5YJSA1H10EFP00001,2022,Tesla,Model S,19800,COOL-1101-C,Battery cooling pump,Thermal management warning - battery temp exceeding limits,,2100.00,6.0,DLR-CA-0055,SUP-BOSCH-007,2021-10-30,bumper-to-bumper
CLM-2024-001006,2024-03-15,1FTFW1EG5NFA45678,2021,Ford,F-150,52400,ENG-0421-A,Engine oil pump assembly,Oil pump failure - complete oil pressure loss at highway speed,P0520,2400.00,8.0,DLR-TX-0075,SUP-ACME-003,2020-09-08,powertrain
CLM-2024-001007,2024-03-16,WBAVA37508NL56789,2021,BMW,3 Series,38700,BRAKE-0231-D,Brake pad wear sensor,ABS warning light - premature brake pad wear detected,C0035,320.00,1.5,DLR-NY-0012,SUP-ATE-002,2020-08-14,bumper-to-bumper
CLM-2024-001008,2024-03-17,2T1BURHE0JC678901,2022,Toyota,Camry,29500,TRANS-0811-B,Automatic transmission solenoid pack,Transmission slip - 3rd gear engagement failure,,780.00,2.5,DLR-CA-0031,SUP-DENSO-001,2021-11-12,powertrain
CLM-2024-001009,2024-03-18,1GNSKBKC4ER123456,2022,Chevrolet,Tahoe,22300,STEER-0551-E,Electric power steering motor,Steering assist loss at low speed - intermittent heavy steering,C0176,1580.00,5.5,DLR-IL-0008,SUP-JTEKT-004,2021-07-22,powertrain
CLM-2024-001010,2024-03-19,5YJSA1H10EFP00002,2022,Tesla,Model S,18200,COOL-1101-C,Battery cooling pump,Battery overheating notification - reduced charging rate,,2050.00,5.5,DLR-CA-0055,SUP-BOSCH-007,2021-10-25,bumper-to-bumper
CLM-2024-001011,2024-03-20,1FTFW1EG5NFA56789,2022,Ford,F-150,36800,ENG-0421-A,Engine oil pump assembly,Oil pressure drops on long grades - P0520 DTC stored,P0520,1195.00,4.0,DLR-TX-0042,SUP-ACME-003,2021-09-30,powertrain
CLM-2024-001012,2024-03-21,3VWFE21C04M789012,2021,Volkswagen,Jetta,44100,FUEL-0301-F,Fuel injector set,Rough idle and misfires at warm engine - DTC P0300-P0304,P0300,1640.00,4.0,DLR-FL-0033,SUP-BOSCH-007,2020-06-17,bumper-to-bumper
CLM-2024-001013,2024-03-22,WBAVA37508NL67890,2021,BMW,3 Series,41200,BRAKE-0231-D,Brake pad wear sensor,Sensor failure causing false brake wear alert at 41k miles,C0035,290.00,1.0,DLR-NY-0044,SUP-ATE-002,2020-08-20,bumper-to-bumper
CLM-2024-001014,2024-03-23,1FTFW1EG5NFA67890,2022,Ford,F-150,29800,ENG-0421-A,Engine oil pump assembly,Reduced oil pressure under load - dealer confirmed pump wear,P0520,1280.00,4.5,DLR-TX-0091,SUP-ACME-003,2021-09-10,powertrain
CLM-2024-001015,2024-03-24,1GNSKBKC4ER234567,2022,Chevrolet,Tahoe,25100,STEER-0551-E,Electric power steering motor,EPS fault code - steering heavy during parking maneuvers,C0176,1620.00,5.5,DLR-IL-0021,SUP-JTEKT-004,2021-07-30,powertrain
CLM-2024-001016,2024-03-25,5YJSA1H10EFP00003,2022,Tesla,Model S,21400,COOL-1101-C,Battery cooling pump,Pump noise and reduced cooling - thermal warning generated,,2200.00,6.5,DLR-WA-0007,SUP-BOSCH-007,2021-11-03,bumper-to-bumper
CLM-2024-001017,2024-03-26,2T1BURHE0JC789012,2021,Toyota,Camry,56300,TRANS-0811-B,Automatic transmission solenoid pack,Intermittent 2-3 shift flare - customer reports 18 months,P0752,920.00,3.5,DLR-CA-0017,SUP-DENSO-001,2020-10-28,powertrain
CLM-2024-001018,2024-03-27,3VWFE21C04M890123,2022,Volkswagen,Jetta,18700,FUEL-0301-F,Fuel injector set,Cold start rough idle - injector coke deposits confirmed,P0300,1590.00,4.0,DLR-FL-0059,SUP-BOSCH-007,2021-05-14,bumper-to-bumper
CLM-2024-001019,2024-03-28,1FTFW1EG5NFA78901,2021,Ford,F-150,64200,ENG-0421-A,Engine oil pump assembly,Oil pump seized - engine tow-in - major repair,P0520,4800.00,16.0,DLR-TX-0042,SUP-ACME-003,2020-09-02,powertrain
CLM-2024-001020,2024-03-29,WBAVA37508NL78901,2022,BMW,3 Series,28400,SUSP-0121-G,Front strut assembly,Clunking over bumps - worn strut mount confirmed at 28k,,680.00,2.0,DLR-NY-0012,SUP-SACHS-006,2021-12-01,bumper-to-bumper
